name,id,state_id/id
JAKARTA PUSAT,kabupaten_id_1,base.state_id_jk
JAKARTA BARAT,kabupaten_id_2,base.state_id_jk
JAKARTA SELATAN,kabupaten_id_3,base.state_id_jk
JAKARTA TIMUR,kabupaten_id_4,base.state_id_jk
JAKARTA UTARA,kabupaten_id_5,base.state_id_jk
KEPULAUAN SERIBU,kabupaten_id_6,base.state_id_jk
TANGERANG,kabupaten_id_7,base.state_id_bt
TANGERANG SELATAN,kabupaten_id_8,base.state_id_bt
BOGOR,kabupaten_id_9,base.state_id_jb
DEPOK,kabupaten_id_10,base.state_id_jb
BEKASI,kabupaten_id_11,base.state_id_jb
MEDAN,kabupaten_id_12,base.state_id_su
DELI SERDANG,kabupaten_id_13,base.state_id_su
TEBING TINGGI,kabupaten_id_14,base.state_id_su
BINJAI,kabupaten_id_15,base.state_id_su
LANGKAT,kabupaten_id_16,base.state_id_su
SERDANG BEDAGAI,kabupaten_id_17,base.state_id_su
PEMATANG SIANTAR,kabupaten_id_18,base.state_id_su
SIMALUNGUN,kabupaten_id_19,base.state_id_su
ASAHAN,kabupaten_id_20,base.state_id_su
BATU BARA,kabupaten_id_21,base.state_id_su
TANJUNG BALAI,kabupaten_id_22,base.state_id_su
LABUHAN BATU,kabupaten_id_23,base.state_id_su
LABUHAN BATU UTARA,kabupaten_id_24,base.state_id_su
LABUHAN BATU SELATAN,kabupaten_id_25,base.state_id_su
KARO,kabupaten_id_26,base.state_id_su
DAIRI,kabupaten_id_27,base.state_id_su
PAKPAK BHARAT,kabupaten_id_28,base.state_id_su
TOBA SAMOSIR,kabupaten_id_29,base.state_id_su
SAMOSIR,kabupaten_id_30,base.state_id_su
TAPANULI UTARA,kabupaten_id_31,base.state_id_su
HUMBANG HASUNDUTAN,kabupaten_id_32,base.state_id_su
SIBOLGA,kabupaten_id_33,base.state_id_su
TAPANULI TENGAH,kabupaten_id_34,base.state_id_su
PADANG SIDEMPUAN,kabupaten_id_35,base.state_id_su
TAPANULI SELATAN,kabupaten_id_36,base.state_id_su
PADANG LAWAS UTARA,kabupaten_id_37,base.state_id_su
PADANG LAWAS,kabupaten_id_38,base.state_id_su
GUNUNGSITOLI,kabupaten_id_39,base.state_id_su
NIAS BARAT,kabupaten_id_40,base.state_id_su
NIAS UTARA,kabupaten_id_41,base.state_id_su
NIAS,kabupaten_id_42,base.state_id_su
NIAS SELATAN,kabupaten_id_43,base.state_id_su
MANDAILING NATAL,kabupaten_id_44,base.state_id_su
BANDA ACEH,kabupaten_id_45,base.state_id_ac
ACEH BESAR,kabupaten_id_46,base.state_id_ac
SABANG,kabupaten_id_47,base.state_id_ac
ACEH BARAT,kabupaten_id_48,base.state_id_ac
ACEH JAYA,kabupaten_id_49,base.state_id_ac
NAGAN RAYA,kabupaten_id_50,base.state_id_ac
ACEH SELATAN,kabupaten_id_51,base.state_id_ac
ACEH BARAT DAYA,kabupaten_id_52,base.state_id_ac
SIMEULUE,kabupaten_id_53,base.state_id_ac
PIDIE,kabupaten_id_54,base.state_id_ac
PIDIE JAYA,kabupaten_id_55,base.state_id_ac
BIREUEN,kabupaten_id_56,base.state_id_ac
LHOKSEUMAWE,kabupaten_id_57,base.state_id_ac
ACEH UTARA,kabupaten_id_58,base.state_id_ac
LANGSA,kabupaten_id_59,base.state_id_ac
ACEH TIMUR,kabupaten_id_60,base.state_id_ac
ACEH TAMIANG,kabupaten_id_61,base.state_id_ac
ACEH TENGAH,kabupaten_id_62,base.state_id_ac
BENER MERIAH,kabupaten_id_63,base.state_id_ac
ACEH TENGGARA,kabupaten_id_64,base.state_id_ac
GAYO LUES,kabupaten_id_65,base.state_id_ac
SUBULUSSALAM,kabupaten_id_66,base.state_id_ac
ACEH SINGKIL,kabupaten_id_67,base.state_id_ac
PADANG,kabupaten_id_68,base.state_id_sb
KEPULAUAN MENTAWAI,kabupaten_id_69,base.state_id_sb
PARIAMAN,kabupaten_id_70,base.state_id_sb
PADANG PARIAMAN,kabupaten_id_71,base.state_id_sb
PESISIR SELATAN,kabupaten_id_72,base.state_id_sb
BUKITTINGGI,kabupaten_id_73,base.state_id_sb
AGAM,kabupaten_id_74,base.state_id_sb
PAYAKUMBUH,kabupaten_id_75,base.state_id_sb
LIMA PULUH KOTO/KOTA,kabupaten_id_76,base.state_id_sb
PASAMAN,kabupaten_id_77,base.state_id_sb
PASAMAN BARAT,kabupaten_id_78,base.state_id_sb
PADANG PANJANG,kabupaten_id_79,base.state_id_sb
TANAH DATAR,kabupaten_id_80,base.state_id_sb
SOLOK,kabupaten_id_81,base.state_id_sb
SAWAH LUNTO,kabupaten_id_82,base.state_id_sb
SIJUNJUNG (SAWAH LUNTO SIJUNJUNG),kabupaten_id_83,base.state_id_sb
DHARMASRAYA,kabupaten_id_84,base.state_id_sb
SOLOK SELATAN,kabupaten_id_85,base.state_id_sb
PEKANBARU,kabupaten_id_86,base.state_id_ri
PELALAWAN,kabupaten_id_87,base.state_id_ri
KAMPAR,kabupaten_id_88,base.state_id_ri
ROKAN HULU,kabupaten_id_89,base.state_id_ri
SIAK,kabupaten_id_90,base.state_id_ri
BENGKALIS,kabupaten_id_91,base.state_id_ri
KEPULAUAN MERANTI,kabupaten_id_92,base.state_id_ri
DUMAI,kabupaten_id_93,base.state_id_ri
ROKAN HILIR,kabupaten_id_94,base.state_id_ri
TANJUNG PINANG,kabupaten_id_95,base.state_id_kr
BINTAN,kabupaten_id_96,base.state_id_kr
INDRAGIRI HILIR,kabupaten_id_97,base.state_id_ri
INDRAGIRI HULU,kabupaten_id_98,base.state_id_ri
BATAM,kabupaten_id_99,base.state_id_kr
KUANTAN SINGINGI,kabupaten_id_100,base.state_id_ri
KARIMUN,kabupaten_id_101,base.state_id_kr
NATUNA,kabupaten_id_102,base.state_id_kr
KEPULAUAN ANAMBAS,kabupaten_id_103,base.state_id_kr
LINGGA,kabupaten_id_104,base.state_id_kr
PALEMBANG,kabupaten_id_105,base.state_id_ss
OGAN KOMERING ILIR,kabupaten_id_106,base.state_id_ss
OGAN ILIR,kabupaten_id_107,base.state_id_ss
MUSI BANYUASIN,kabupaten_id_108,base.state_id_ss
MUSI RAWAS,kabupaten_id_109,base.state_id_ss
BANYUASIN,kabupaten_id_110,base.state_id_ss
PRABUMULIH,kabupaten_id_111,base.state_id_ss
MUARA ENIM,kabupaten_id_112,base.state_id_ss
LAHAT,kabupaten_id_113,base.state_id_ss
EMPAT LAWANG,kabupaten_id_114,base.state_id_ss
PAGAR ALAM,kabupaten_id_115,base.state_id_ss
LUBUK LINGGAU,kabupaten_id_116,base.state_id_ss
OGAN KOMERING ULU,kabupaten_id_117,base.state_id_ss
OGAN KOMERING ULU TIMUR,kabupaten_id_118,base.state_id_ss
OGAN KOMERING ULU SELATAN,kabupaten_id_119,base.state_id_ss
PANGKAL PINANG,kabupaten_id_120,base.state_id_bb
BANGKA,kabupaten_id_121,base.state_id_bb
BANGKA BARAT,kabupaten_id_122,base.state_id_bb
BELITUNG,kabupaten_id_123,base.state_id_bb
BELITUNG TIMUR,kabupaten_id_124,base.state_id_bb
BANGKA TENGAH,kabupaten_id_125,base.state_id_bb
BANGKA SELATAN,kabupaten_id_126,base.state_id_bb
METRO,kabupaten_id_127,base.state_id_la
LAMPUNG TENGAH,kabupaten_id_128,base.state_id_la
LAMPUNG TIMUR,kabupaten_id_129,base.state_id_la
TULANG BAWANG BARAT,kabupaten_id_130,base.state_id_la
LAMPUNG UTARA,kabupaten_id_131,base.state_id_la
TULANG BAWANG,kabupaten_id_132,base.state_id_la
MESUJI,kabupaten_id_133,base.state_id_la
WAY KANAN,kabupaten_id_134,base.state_id_la
LAMPUNG BARAT,kabupaten_id_135,base.state_id_la
PESISIR BARAT,kabupaten_id_136,base.state_id_la
BANDAR LAMPUNG,kabupaten_id_137,base.state_id_la
LAMPUNG SELATAN,kabupaten_id_138,base.state_id_la
PESAWARAN,kabupaten_id_139,base.state_id_la
PRINGSEWU,kabupaten_id_140,base.state_id_la
TANGGAMUS,kabupaten_id_141,base.state_id_la
JAMBI,kabupaten_id_142,base.state_id_ja
MUARO JAMBI,kabupaten_id_143,base.state_id_ja
TANJUNG JABUNG BARAT,kabupaten_id_144,base.state_id_ja
TANJUNG JABUNG TIMUR,kabupaten_id_145,base.state_id_ja
BATANG HARI,kabupaten_id_146,base.state_id_ja
SUNGAIPENUH,kabupaten_id_147,base.state_id_ja
KERINCI,kabupaten_id_148,base.state_id_ja
BUNGO,kabupaten_id_149,base.state_id_ja
TEBO,kabupaten_id_150,base.state_id_ja
MERANGIN,kabupaten_id_151,base.state_id_ja
SAROLANGUN,kabupaten_id_152,base.state_id_ja
BENGKULU,kabupaten_id_153,base.state_id_be
BENGKULU UTARA,kabupaten_id_154,base.state_id_be
BENGKULU TENGAH,kabupaten_id_155,base.state_id_be
BENGKULU SELATAN,kabupaten_id_156,base.state_id_be
MUKO MUKO,kabupaten_id_157,base.state_id_be
SELUMA,kabupaten_id_158,base.state_id_be
KAUR,kabupaten_id_159,base.state_id_be
REJANG LEBONG,kabupaten_id_160,base.state_id_be
LEBONG,kabupaten_id_161,base.state_id_be
KEPAHIANG,kabupaten_id_162,base.state_id_be
BANDUNG,kabupaten_id_163,base.state_id_jb
BANDUNG BARAT,kabupaten_id_164,base.state_id_jb
CIMAHI,kabupaten_id_165,base.state_id_jb
PURWAKARTA,kabupaten_id_166,base.state_id_jb
SUBANG,kabupaten_id_167,base.state_id_jb
KARAWANG,kabupaten_id_168,base.state_id_jb
SERANG,kabupaten_id_169,base.state_id_bt
PANDEGLANG,kabupaten_id_170,base.state_id_bt
LEBAK,kabupaten_id_171,base.state_id_bt
CILEGON,kabupaten_id_172,base.state_id_bt
SUKABUMI,kabupaten_id_173,base.state_id_jb
CIANJUR,kabupaten_id_174,base.state_id_jb
GARUT,kabupaten_id_175,base.state_id_jb
CIREBON,kabupaten_id_176,base.state_id_jb
INDRAMAYU,kabupaten_id_177,base.state_id_jb
SUMEDANG,kabupaten_id_178,base.state_id_jb
MAJALENGKA,kabupaten_id_179,base.state_id_jb
KUNINGAN,kabupaten_id_180,base.state_id_jb
TASIKMALAYA,kabupaten_id_181,base.state_id_jb
CIAMIS,kabupaten_id_182,base.state_id_jb
PANGANDARAN,kabupaten_id_183,base.state_id_jb
BANJAR,kabupaten_id_184,base.state_id_jb
SEMARANG,kabupaten_id_185,base.state_id_jt
SALATIGA,kabupaten_id_186,base.state_id_jt
PEKALONGAN,kabupaten_id_187,base.state_id_jt
BATANG,kabupaten_id_188,base.state_id_jt
KENDAL,kabupaten_id_189,base.state_id_jt
TEGAL,kabupaten_id_190,base.state_id_jt
BREBES,kabupaten_id_191,base.state_id_jt
PEMALANG,kabupaten_id_192,base.state_id_jt
BANYUMAS,kabupaten_id_193,base.state_id_jt
CILACAP,kabupaten_id_194,base.state_id_jt
PURBALINGGA,kabupaten_id_195,base.state_id_jt
BANJARNEGARA,kabupaten_id_196,base.state_id_jt
PURWOREJO,kabupaten_id_197,base.state_id_jt
KEBUMEN,kabupaten_id_198,base.state_id_jt
YOGYAKARTA,kabupaten_id_199,base.state_id_yo
BANTUL,kabupaten_id_200,base.state_id_yo
SLEMAN,kabupaten_id_201,base.state_id_yo
KULON PROGO,kabupaten_id_202,base.state_id_yo
GUNUNG KIDUL,kabupaten_id_203,base.state_id_yo
MAGELANG,kabupaten_id_204,base.state_id_jt
TEMANGGUNG,kabupaten_id_205,base.state_id_jt
WONOSOBO,kabupaten_id_206,base.state_id_jt
SURAKARTA (SOLO),kabupaten_id_207,base.state_id_jt
SUKOHARJO,kabupaten_id_208,base.state_id_jt
KARANGANYAR,kabupaten_id_209,base.state_id_jt
SRAGEN,kabupaten_id_210,base.state_id_jt
BOYOLALI,kabupaten_id_211,base.state_id_jt
KLATEN,kabupaten_id_212,base.state_id_jt
WONOGIRI,kabupaten_id_213,base.state_id_jt
GROBOGAN,kabupaten_id_214,base.state_id_jt
BLORA,kabupaten_id_215,base.state_id_jt
PATI,kabupaten_id_216,base.state_id_jt
REMBANG,kabupaten_id_217,base.state_id_jt
KUDUS,kabupaten_id_218,base.state_id_jt
JEPARA,kabupaten_id_219,base.state_id_jt
DEMAK,kabupaten_id_220,base.state_id_jt
SURABAYA,kabupaten_id_221,base.state_id_ji
GRESIK,kabupaten_id_222,base.state_id_ji
SIDOARJO,kabupaten_id_223,base.state_id_ji
MOJOKERTO,kabupaten_id_224,base.state_id_ji
JOMBANG,kabupaten_id_225,base.state_id_ji
BOJONEGORO,kabupaten_id_226,base.state_id_ji
LAMONGAN,kabupaten_id_227,base.state_id_ji
TUBAN,kabupaten_id_228,base.state_id_ji
MADIUN,kabupaten_id_229,base.state_id_ji
MAGETAN,kabupaten_id_230,base.state_id_ji
NGAWI,kabupaten_id_231,base.state_id_ji
PONOROGO,kabupaten_id_232,base.state_id_ji
PACITAN,kabupaten_id_233,base.state_id_ji
KEDIRI,kabupaten_id_234,base.state_id_ji
NGANJUK,kabupaten_id_235,base.state_id_ji
MALANG,kabupaten_id_236,base.state_id_ji
BATU,kabupaten_id_237,base.state_id_ji
BLITAR,kabupaten_id_238,base.state_id_ji
TULUNGAGUNG,kabupaten_id_239,base.state_id_ji
TRENGGALEK,kabupaten_id_240,base.state_id_ji
PASURUAN,kabupaten_id_241,base.state_id_ji
PROBOLINGGO,kabupaten_id_242,base.state_id_ji
LUMAJANG,kabupaten_id_243,base.state_id_ji
JEMBER,kabupaten_id_244,base.state_id_ji
BONDOWOSO,kabupaten_id_245,base.state_id_ji
SITUBONDO,kabupaten_id_246,base.state_id_ji
BANYUWANGI,kabupaten_id_247,base.state_id_ji
BANGKALAN,kabupaten_id_248,base.state_id_ji
SAMPANG,kabupaten_id_249,base.state_id_ji
PAMEKASAN,kabupaten_id_250,base.state_id_ji
SUMENEP,kabupaten_id_251,base.state_id_ji
BANJARMASIN,kabupaten_id_252,base.state_id_ks
BARITO KUALA,kabupaten_id_253,base.state_id_ks
BANJAR,kabupaten_id_184,base.state_id_ks
BANJARBARU,kabupaten_id_254,base.state_id_ks
TANAH LAUT,kabupaten_id_255,base.state_id_ks
TAPIN,kabupaten_id_256,base.state_id_ks
HULU SUNGAI SELATAN,kabupaten_id_257,base.state_id_ks
HULU SUNGAI TENGAH,kabupaten_id_258,base.state_id_ks
HULU SUNGAI UTARA,kabupaten_id_259,base.state_id_ks
TABALONG,kabupaten_id_260,base.state_id_ks
BALANGAN,kabupaten_id_261,base.state_id_ks
KOTABARU,kabupaten_id_262,base.state_id_ks
TANAH BUMBU,kabupaten_id_263,base.state_id_ks
PALANGKA RAYA,kabupaten_id_264,base.state_id_kt
KAPUAS,kabupaten_id_265,base.state_id_kt
BARITO TIMUR,kabupaten_id_266,base.state_id_kt
BARITO SELATAN,kabupaten_id_267,base.state_id_kt
BARITO UTARA,kabupaten_id_268,base.state_id_kt
MURUNG RAYA,kabupaten_id_269,base.state_id_kt
KOTAWARINGIN BARAT,kabupaten_id_270,base.state_id_kt
LAMANDAU,kabupaten_id_271,base.state_id_kt
SUKAMARA,kabupaten_id_272,base.state_id_kt
SERUYAN,kabupaten_id_273,base.state_id_kt
KOTAWARINGIN TIMUR,kabupaten_id_274,base.state_id_kt
KATINGAN,kabupaten_id_275,base.state_id_kt
GUNUNG MAS,kabupaten_id_276,base.state_id_kt
PULANG PISAU,kabupaten_id_277,base.state_id_kt
SAMARINDA,kabupaten_id_278,base.state_id_ki
KUTAI KARTANEGARA,kabupaten_id_279,base.state_id_ki
BONTANG,kabupaten_id_280,base.state_id_ki
KUTAI TIMUR,kabupaten_id_281,base.state_id_ki
KUTAI BARAT,kabupaten_id_282,base.state_id_ki
BALIKPAPAN,kabupaten_id_283,base.state_id_ki
PENAJAM PASER UTARA,kabupaten_id_284,base.state_id_ki
PASER,kabupaten_id_285,base.state_id_ki
TARAKAN,kabupaten_id_286,base.state_id_ku
TANA TIDUNG,kabupaten_id_287,base.state_id_ku
MALINAU,kabupaten_id_288,base.state_id_ku
BULUNGAN (BULONGAN),kabupaten_id_289,base.state_id_ku
BERAU,kabupaten_id_290,base.state_id_ki
NUNUKAN,kabupaten_id_291,base.state_id_ku
PONTIANAK,kabupaten_id_292,base.state_id_kb
KUBU RAYA,kabupaten_id_293,base.state_id_kb
SANGGAU,kabupaten_id_294,base.state_id_kb
SINTANG,kabupaten_id_295,base.state_id_kb
KAPUAS HULU,kabupaten_id_296,base.state_id_kb
KETAPANG,kabupaten_id_297,base.state_id_kb
KAYONG UTARA,kabupaten_id_298,base.state_id_kb
SINGKAWANG,kabupaten_id_299,base.state_id_kb
SAMBAS,kabupaten_id_300,base.state_id_kb
BENGKAYANG,kabupaten_id_301,base.state_id_kb
LANDAK,kabupaten_id_302,base.state_id_kb
SEKADAU,kabupaten_id_303,base.state_id_kb
MELAWI,kabupaten_id_304,base.state_id_kb
DENPASAR,kabupaten_id_305,base.state_id_ba
BADUNG,kabupaten_id_306,base.state_id_ba
GIANYAR,kabupaten_id_307,base.state_id_ba
BANGLI,kabupaten_id_308,base.state_id_ba
KLUNGKUNG,kabupaten_id_309,base.state_id_ba
KARANGASEM,kabupaten_id_310,base.state_id_ba
BULELENG,kabupaten_id_311,base.state_id_ba
TABANAN,kabupaten_id_312,base.state_id_ba
JEMBRANA,kabupaten_id_313,base.state_id_ba
MATARAM,kabupaten_id_314,base.state_id_nb
LOMBOK BARAT,kabupaten_id_315,base.state_id_nb
LOMBOK UTARA,kabupaten_id_316,base.state_id_nb
LOMBOK TENGAH,kabupaten_id_317,base.state_id_nb
LOMBOK TIMUR,kabupaten_id_318,base.state_id_nb
BIMA,kabupaten_id_319,base.state_id_nb
DOMPU,kabupaten_id_320,base.state_id_nb
SUMBAWA,kabupaten_id_321,base.state_id_nb
SUMBAWA BARAT,kabupaten_id_322,base.state_id_nb
KUPANG,kabupaten_id_323,base.state_id_nt
SABU RAIJUA,kabupaten_id_324,base.state_id_nt
TIMOR TENGAH SELATAN,kabupaten_id_325,base.state_id_nt
TIMOR TENGAH UTARA,kabupaten_id_326,base.state_id_nt
BELU,kabupaten_id_327,base.state_id_nt
ALOR,kabupaten_id_328,base.state_id_nt
ROTE NDAO,kabupaten_id_329,base.state_id_nt
SIKKA,kabupaten_id_330,base.state_id_nt
ENDE,kabupaten_id_331,base.state_id_nt
FLORES TIMUR,kabupaten_id_332,base.state_id_nt
NGADA,kabupaten_id_333,base.state_id_nt
NAGEKEO,kabupaten_id_334,base.state_id_nt
MANGGARAI,kabupaten_id_335,base.state_id_nt
MANGGARAI TIMUR,kabupaten_id_336,base.state_id_nt
LEMBATA,kabupaten_id_337,base.state_id_nt
MANGGARAI BARAT,kabupaten_id_338,base.state_id_nt
SUMBA TIMUR,kabupaten_id_339,base.state_id_nt
SUMBA BARAT,kabupaten_id_340,base.state_id_nt
SUMBA BARAT DAYA,kabupaten_id_341,base.state_id_nt
SUMBA TENGAH,kabupaten_id_342,base.state_id_nt
MAKASSAR,kabupaten_id_343,base.state_id_sn
GOWA,kabupaten_id_344,base.state_id_sn
BONE,kabupaten_id_345,base.state_id_sn
MAROS,kabupaten_id_346,base.state_id_sn
PANGKAJENE KEPULAUAN,kabupaten_id_347,base.state_id_sn
BARRU,kabupaten_id_348,base.state_id_sn
SOPPENG,kabupaten_id_349,base.state_id_sn
WAJO,kabupaten_id_350,base.state_id_sn
PAREPARE,kabupaten_id_351,base.state_id_sn
PINRANG,kabupaten_id_352,base.state_id_sn
POLEWALI MANDAR,kabupaten_id_353,base.state_id_sr
MAMUJU,kabupaten_id_354,base.state_id_sr
MAMASA,kabupaten_id_355,base.state_id_sr
MAJENE,kabupaten_id_356,base.state_id_sr
MAMUJU UTARA,kabupaten_id_357,base.state_id_sr
SIDENRENG RAPPANG/RAPANG,kabupaten_id_358,base.state_id_sn
SINJAI,kabupaten_id_359,base.state_id_sn
ENREKANG,kabupaten_id_360,base.state_id_sn
TANA TORAJA,kabupaten_id_361,base.state_id_sn
TORAJA UTARA,kabupaten_id_362,base.state_id_sn
LUWU UTARA,kabupaten_id_363,base.state_id_sn
PALOPO,kabupaten_id_364,base.state_id_sn
LUWU,kabupaten_id_365,base.state_id_sn
LUWU TIMUR,kabupaten_id_366,base.state_id_sn
TAKALAR,kabupaten_id_367,base.state_id_sn
JENEPONTO,kabupaten_id_368,base.state_id_sn
BANTAENG,kabupaten_id_369,base.state_id_sn
BULUKUMBA,kabupaten_id_370,base.state_id_sn